Service Name,Street,Suburb,Postcode,State,LGA
Marcus Road Kindergarten,37 Marcus Road,DINGLEY VILLAGE,3172,VIC,KINGSTON CITY
Maria Montessori Pre School & Early Learning Centre,42 Main Street,THOMASTOWN,3074,VIC,WHITTLESEA CITY
Maria Montessori Preschool, 751-755 Ferntree Gully Road,WHEELERS HILL,3150,VIC,MONASH CITY
Maribyrnong Kindergarten,5 Warrs Road,MARIBYRNONG,3032,VIC,MARIBYRNONG CITY
Maribyrnong River Children's Centre, Wests Road,MARIBYRNONG,3032,VIC,MARIBYRNONG CITY
Mariemont Preschool,9 Mariemont Avenue,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Marong & District Preschool, 10 Adam Street,MARONG,3515,VIC,GREATER BENDIGO CITY
Maroondah Kids Early Learning Centre,109 Alto Avenue,CROYDON,3136,VIC,MAROONDAH CITY
Maroondah Kindergarten,16 Evon Avenue,RINGWOOD EAST,3135,VIC,MAROONDAH CITY
Marrang Kindergarten,87-89 D'arcy Street,STAWELL,3380,VIC,NORTHERN GRAMPIANS SHIRE
Marriott Waters Kindergarten,25 Boland Drive,LYNDHURST,3975,VIC,CASEY CITY
Mary Beck Kindergarten,8 Neerim East Road,NEERIM SOUTH,3831,VIC,BAW BAW SHIRE
Maryborough Avenue Kindergarten,14 Maryborough Avenue,KINGSBURY,3083,VIC,DAREBIN CITY
Mary's Little Lambs Early Learning Centre,27 Medway Street,BOX HILL NORTH,3129,VIC,WHITEHORSE CITY
Marysville and District Kindergarten Association Inc,15 Falls Rd,MARYSVILLE,3779,VIC,MURRINDINDI SHIRE
Maryvale Crescent Kindergarten,14 Maryvale Crescent,MORWELL,3840,VIC,LATROBE CITY
McCole Street Children's Centre,18 McCole Street,SALE,3850,VIC,WELLINGTON SHIRE
McEwen Drive Preschool,9 McEwen Drive,SUNBURY,3429,VIC,HUME CITY
McKenzie Street Children's Centre, 106-110 McKenzie Street,WONTHAGGI,3995,VIC,BASS COAST SHIRE
McKinnon Kindergarten,220 McKinnon Road,MCKINNON,3204,VIC,GLEN EIRA CITY
McLeans Road Kindergarten,151 McLeans Road,BUNDOORA,3083,VIC,WHITTLESEA CITY
Meadows Primary School Kindergarten, Gerbert Street,BROADMEADOWS,3047,VIC,HUME CITY
Meeniyan Preschool,95 Whitelaw Street,MEENIYAN,3956,VIC,SOUTH GIPPSLAND SHIRE
Melbourne City Childcare and Kindergarten,546 Collins Street,MELBOURNE,3000,VIC,MELBOURNE CITY
Melbourne Juniors,24 Sheila Street,PRESTON,3072,VIC,DAREBIN CITY
Melbourne Montessori School -  Brighton Campus,741 Hawthorn Road,BRIGHTON EAST,3187,VIC,BAYSIDE CITY
Melbourne Montessori School Caulfield Campus,3-6 Roselea Street,CAULFIELD SOUTH,3162,VIC,GLEN EIRA CITY
Melbourne Rudolf Steiner Kindergarten,213 Wonga Road,WARRANWOOD,3134,VIC,MAROONDAH CITY
Melbourne University Family Club,427 Cardigan Street,CARLTON,3053,VIC,MELBOURNE CITY
Mel's Angels,41 Cornwall Street,HALLAM,3803,VIC,CASEY CITY
Melton Central Preschool,237 Station Road,MELTON,3337,VIC,MELTON SHIRE
Melton Early Learning Kinders,31 - 33 Unitt Street,MELTON,3337,VIC,MELTON SHIRE
Melton Uniting Kindergarten, Yuille Street,MELTON,3337,VIC,MELTON SHIRE
Melton World of Learning,229-231  Station St,MELTON,3337,VIC,MELTON SHIRE
Mentone Girls Grammar Early Learning Centre,20 Mentone Parade,MENTONE,3194,VIC,KINGSTON CITY
Mentone Grammar School,71-73 Naples Road,MENTONE,3194,VIC,KINGSTON CITY
Mentone Park Child Care and Preschool,18 Acacia Avenue,MENTONE,3194,VIC,KINGSTON CITY
Mentone Preschool,6 Station Street,MENTONE,3194,VIC,KINGSTON CITY
Merbein Preschool Kindergarten, 18 O'Bryan Street,MERBEIN,3505,VIC,MILDURA RURAL CITY
Meredith Kindergarten,31 Staughton Street,MEREDITH,3333,VIC,GOLDEN PLAINS SHIRE
Merinda Park Kindergarten,149-153 Endeavour Drive,CRANBOURNE,3977,VIC,CASEY CITY
Mernda Villages Kindergarten,70 Mernda Village Drive,MERNDA,3754,VIC,WHITTLESEA CITY
Merri Community Child Care Centre,313 St Georges Road,THORNBURY,3071,VIC,DAREBIN CITY
Merri Kindergarten,1126 Hopkins Highway,PURNIM WEST,3279,VIC,MOYNE SHIRE
Merrifield Child Care and Early Learning Centre,104 Johnstone Street,CASTLEMAINE,3450,VIC,MOUNT ALEXANDER SHIRE
Merrigum Kindergarten & Early Childhood Services, Waverley Avenue,MERRIGUM,3618,VIC,GREATER SHEPPARTON CITY
Merrilands Children's Centre & Kindergarten - BUC,23-25 Ryan Street,RESERVOIR,3073,VIC,DAREBIN CITY
Merriwa Kindergarten,60A Bishop Street,YARRAVILLE,3013,VIC,MARIBYRNONG CITY
Meruka Child Care Centre, Meruka Drive,ELTHAM,3095,VIC,NILLUMBIK SHIRE
Methodist Ladies College - Kindle,207 Barkers Road,KEW,3101,VIC,BOROONDARA CITY
Mickleham Road Early Learning Centre,124-128 Mickleham Road,TULLAMARINE,3043,VIC,HUME CITY
Mid Valley Kinder and Child Care,31-33 Bridle Road,MORWELL,3840,VIC,LATROBE CITY
Middle Park Kindergarten,131 Mills Street,MIDDLE PARK,3206,VIC,PORT PHILLIP CITY
Midlands Kindergarten,701 Landsborough Street,BALLARAT,3350,VIC,BALLARAT CITY
Mildura Central Child Care Centre,145-149 Lime Avenue,MILDURA,3500,VIC,MILDURA RURAL CITY
Mildura Early Learning Centre,328-340 San Mateo Avenue,MILDURA,3500,VIC,MILDURA RURAL CITY
Mildura South Kindergarten,13 Luke Road,MILDURA,3500,VIC,MILDURA RURAL CITY
Mildura West Kindergarten,214 Eighth Street,MILDURA,3500,VIC,MILDURA RURAL CITY
Milestone Kindergarten & Early Childhood Centre,374 Maroondah Highway,CROYDON,3136,VIC,MAROONDAH CITY
Mill Park Heights Child Care Centre,31 Morang Drive,MILL PARK,3082,VIC,WHITTLESEA CITY
Mill Park Lakes Preschool,280 Gordons Road,SOUTH MORANG,3752,VIC,WHITTLESEA CITY
Mill Park Preschool,Rear 7A Mill Park Drive,MILL PARK,3082,VIC,WHITTLESEA CITY
Milleara Gardens Kindergarten, Park Drive,KEILOR EAST,3033,VIC,MOONEE VALLEY CITY
Milleara Integrated Learning & Development Centre for Children,1 - 5 Keilor Park Drive,KEILOR EAST,3033,VIC,MOONEE VALLEY CITY
Millgrove Preschool & Maternal Child Health Centre, Cavanagh Road,MILLGROVE,3799,VIC,YARRA RANGES SHIRE
Millville,23 Hart Street,COLAC,3250,VIC,COLAC-OTWAY SHIRE
Minaret Early Learning Centre,67 Tivendale Road,OFFICER,3809,VIC,CARDINIA SHIRE
Minikins Kindergarten Childcare Centre,13 Leeds Street,DONCASTER EAST,3109,VIC,MANNINGHAM CITY
Minimbah Early Childhood Centre,3 Minimbah Court,FRANKSTON,3199,VIC,FRANKSTON CITY
Minnows Aspendale Gardens,101-105 Wells Road,ASPENDALE GARDENS,3195,VIC,KINGSTON CITY
Minnows Beaumaris, 132 Reserve Road,BEAUMARIS,3193,VIC,BAYSIDE CITY
Minnows Bentleigh East,701 South Road,MOORABBIN,3189,VIC,GLEN EIRA CITY
Minnows Cheltenham,15 - 17 Centre Dandenong Road,CHELTENHAM,3192,VIC,KINGSTON CITY
Minyip Kindergarten,29 Main Street,MINYIP,3392,VIC,YARRIAMBIACK SHIRE
Mirboo North Kindergarten,8 Brennan Street,MIRBOO NORTH,3871,VIC,SOUTH GIPPSLAND SHIRE
Mission Australia Learning Services Cranbourne,2 - 8 Brindalee Place,CRANBOURNE,3977,VIC,CASEY CITY
Mission Australia Learning Services Eumemmering,52 - 54 Princes Highway,EUMEMMERRING,3177,VIC,CASEY CITY
Mission Australia Learning Services Keilor,26 Kennedy Street,KEILOR,3036,VIC,BRIMBANK CITY
Mission Australia Learning Services Lower Plenty,412 Main Road,LOWER PLENTY,3093,VIC,BANYULE CITY
Mission Australia Learning Services Officer,454 Princes Highway,OFFICER,3809,VIC,CARDINIA SHIRE
Mission Australia Learning Services Springvale South,554-556 Springvale Road,SPRINGVALE SOUTH,3172,VIC,GREATER DANDENONG CITY
Mitchell Park Kindergarten,1 Steele Street,HAMILTON,3300,VIC,SOUTHERN GRAMPIANS SHIRE
Mitchell Street Child Care Centre,98 Mitchell Street,BRUNSWICK,3056,VIC,MORELAND CITY
Mitford Crescent Preschool,14 Mitford Crescent,CRAIGIEBURN,3064,VIC,HUME CITY
Moe Heights Kindergarten,46 Queen Street,MOE,3825,VIC,LATROBE CITY
Moe P.L.A.C.E.,15-41 Vale Street,MOE,3825,VIC,LATROBE CITY
Monash Caulfield Child Care,22-24 Derby Road,CAULFIELD EAST,3145,VIC,GLEN EIRA CITY
Monash Children's Centre,62-64 Beddoe Avenue,CLAYTON,3168,VIC,MONASH CITY
Monash Community Family Co-operative Ltd, 56 Howleys Rd,NOTTING HILL,3168,VIC,MONASH CITY
Monash Drive Early Learning Centre,166-180 Monash Drive,DANDENONG,3175,VIC,GREATER DANDENONG CITY
Monash Vale Early Learning Centre,1758 Dandenong Road,CLAYTON,3168,VIC,MONASH CITY
Monbulk Preschool,21 Main Road,MONBULK,3793,VIC,YARRA RANGES SHIRE
Monmia Preschool, Copernicus Way,KEILOR DOWNS,3038,VIC,BRIMBANK CITY
Montague Park Preschool, Bentley Place,FRANKSTON,3199,VIC,FRANKSTON CITY
Montessori Early Education Centre,36A Mitcham Road,DONVALE,3111,VIC,MANNINGHAM CITY
Montgomery Park Children's Centre,47 Lawson Street,ESSENDON,3040,VIC,MOONEE VALLEY CITY
Montgomery Park Kindergarten, Hilda Street,ESSENDON,3040,VIC,MOONEE VALLEY CITY
Montrose Preschool,1a Leith Road,MONTROSE,3765,VIC,YARRA RANGES SHIRE
Moomba Park Kindergarten,65 Alec Crescent,FAWKNER,3060,VIC,MORELAND CITY
Moonee Ponds Kinder Haven,758 Mount Alexander Road,MOONEE PONDS,3039,VIC,MOONEE VALLEY CITY
Moore Street Kindergarten,57 Moore Street,MOE,3825,VIC,LATROBE CITY
Moorefield Park Child Care Centre,8 Moorefield Park Drive,WODONGA,3690,VIC,WODONGA RURAL CITY
Mooroolbark Early Childhood Education Centre,8 Charles Street,MOOROOLBARK,3138,VIC,YARRA RANGES SHIRE
Mordialloc Preschool,26  Park St,MORDIALLOC,3195,VIC,KINGSTON CITY
Moreland Kindergarten,157-163 Moreland Road,COBURG,3058,VIC,MORELAND CITY
Moresby Avenue Child Care Centre,6 Moresby Avenue,BULLEEN,3105,VIC,MANNINGHAM CITY
Moriac Kindergarten,7 Clerke Court,MORIAC,3240,VIC,SURF COAST SHIRE
Mornington Park Preschool,5-17 Currawong Street,MORNINGTON,3931,VIC,MORNINGTON PENINSULA SHIRE
Morobe Street Child Day Care Centre,229 Oriel Street,HEIDELBERG,3084,VIC,BANYULE CITY
Morrisons Total Child Care & Kindergarten,20 Old Hereford Road,MOUNT EVELYN,3796,VIC,YARRA RANGES SHIRE
Mortlake & District Kindergarten,5 Park Street,MORTLAKE,3272,VIC,MOYNE SHIRE
Mossfiel Childrens Centre, Pannam Drive,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Mossfiel Kindergarten,3 Guinane Avenue,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Mount Eliza Preschool, 95-97 Wimbledon Avenue,MOUNT ELIZA,3930,VIC,MORNINGTON PENINSULA SHIRE
Mount Evelyn Christian School Kindergarten,135 YORK ROAD,MOUNT EVELYN,3796,VIC,YARRA RANGES SHIRE
Mount Helen Preschool,16 Boak Avenue,MOUNT HELEN,3350,VIC,BALLARAT CITY
Mount Martha Kindergarten,35 Watson Road,MOUNT MARTHA,3934,VIC,MORNINGTON PENINSULA SHIRE
Moyhu & District Kindergarten, Byrne Street,MOYHU,3732,VIC,WANGARATTA RURAL CITY
Mt Clear Community Kindergarten,2 Dallas Avenue,MOUNT CLEAR,3350,VIC,BALLARAT CITY
Mt Dandenong Preschool,1343-1345 Mt Dandenong Tourist Road,MOUNT DANDENONG,3767,VIC,YARRA RANGES SHIRE
Mt Eliza House Child Care and Early Learning Centre,41 Baden Powell Place,MOUNT ELIZA,3930,VIC,MORNINGTON PENINSULA SHIRE
Mt Evelyn Early Learning Centre,113 Bailey Road,MOUNT EVELYN,3796,VIC,YARRA RANGES SHIRE
Mt Evelyn Memorial Preschool,24 Birmingham Road,MOUNT EVELYN,3796,VIC,YARRA RANGES SHIRE
Mt Piper Kindergarten,150 High Street,BROADFORD,3658,VIC,MITCHELL SHIRE
Mt Pleasant Kindergarten,826 Laurie Street,BALLARAT,3350,VIC,BALLARAT CITY
Mt Pleasant Kindergarten, Mount Pleasant Road,NUNAWADING,3131,VIC,WHITEHORSE CITY
Mt Waverley Kindergarten,35 Sherwood Road,MOUNT WAVERLEY,3149,VIC,MONASH CITY
Mulberry Early Learning (Gladstone Park),8-34 Gladstone Park Drive,GLADSTONE PARK,3043,VIC,HUME CITY
Mulberry Early Learning (Sydenham),17A Overton Lea Boulevard,SYDENHAM,3037,VIC,BRIMBANK CITY
Mulgrave Park Kindergarten,68 Albany Drive,MULGRAVE,3170,VIC,MONASH CITY
Munro Avenue Preschool,14-16 Munro Avenue,BENALLA,3672,VIC,BENALLA RURAL CITY
Murchison Kindergarten and Early Childhood Service,14 Watson Street,MURCHISON,3610,VIC,GREATER SHEPPARTON CITY
Murray Road Kindergarten,31 Murray Road,NEWBOROUGH,3825,VIC,LATROBE CITY
Murray Valley Aboriginal Kindergarten,1 Old Street,ROBINVALE,3549,VIC,SWAN HILL RURAL CITY
Murrindal Children and Family Centre,100 Murrindal Drive,ROWVILLE,3178,VIC,KNOX CITY
Murrumbeena Children's Centre,105-107 Murrumbeena Road,MURRUMBEENA,3163,VIC,GLEN EIRA CITY
Murrumbeena Kindergarten,1A Blythe Street,MURRUMBEENA,3163,VIC,GLEN EIRA CITY
Murtoa Kindergarten,38-40 Marma St,MURTOA,3390,VIC,YARRIAMBIACK SHIRE
Mykidz Early Learning Centre,81 George Street,DONCASTER EAST,3109,VIC,MANNINGHAM CITY
Myrtleford Preschool, 55 Prince Street,MYRTLEFORD,3737,VIC,ALPINE SHIRE
Nadia Child Minding Centre,10-12 Warrawong Drive,BERWICK,3806,VIC,CASEY CITY
Nagambie Kindergarten & Early Childhood Services,16 Vale Street,NAGAMBIE,3608,VIC,STRATHBOGIE SHIRE
Nagle Kindergarten,59-61 Sandringham Road,SANDRINGHAM,3191,VIC,BAYSIDE CITY
Nangiloc & District Kindergarten,2606 Kulkyne Way,NANGILOC,3494,VIC,MILDURA RURAL CITY
Napier Street Children's Centre,392 - 394 Napier Street,WHITE HILLS,3550,VIC,GREATER BENDIGO CITY
Nar Nar Goon Kindergarten,13 Main Street,NAR NAR GOON,3812,VIC,CARDINIA SHIRE
Nara Community Child Care Centre,77-99 Rear St Georges Road,PRESTON,3072,VIC,DAREBIN CITY
Nara Kindergarten,2 Stanley Avenue,MOUNT WAVERLEY,3149,VIC,MONASH CITY
Narre Kids,413-415 Princes Highway,NARRE WARREN,3805,VIC,CASEY CITY
Narre Warren Central Preschool, 4 Malcolm Court,NARRE WARREN,3805,VIC,CASEY CITY
Narre Warren Kids Education Centre,58 Elida Crescent,NARRE WARREN SOUTH,3805,VIC,CASEY CITY
Narre Warren North Kindergarten,8 Winters Lane,NARRE WARREN,3805,VIC,CASEY CITY
Nathalia & District Preschool,25 Harcourt Street,NATHALIA,3638,VIC,MOIRA SHIRE
Nathalia Early Learning Centre,20 Bromley Street,NATHALIA,3638,VIC,MOIRA SHIRE
Natimuk Preschool,2 Regent Street,NATIMUK,3409,VIC,HORSHAM RURAL CITY
Natimuk Road Kindergarten,48 Natimuk Road,HORSHAM,3400,VIC,HORSHAM RURAL CITY
Neighbourhood Kids Early Learning Centre,2-8 Cansick Street,ROSEDALE,3847,VIC,WELLINGTON SHIRE
Ness Reserve Pre-school, 1 Ness St,DIAMOND CREEK,3089,VIC,NILLUMBIK SHIRE
Newhope Baptist Preschool,3 Springfield Road,BLACKBURN,3130,VIC,WHITEHORSE CITY
Newlands Preschool,20 Murray Road,COBURG,3058,VIC,MORELAND CITY
Newport Gardens Early Years Centre, Cnr Maddox Road & Woods Street,NEWPORT,3015,VIC,HOBSONS BAY CITY
Newstead Preschool,6 Panmure Street,NEWSTEAD,3462,VIC,MOUNT ALEXANDER SHIRE
Nhill & District Kindergarten,9 Clarence Street,NHILL,3418,VIC,HINDMARSH SHIRE
Nickis Clever Cookies,57 Cunningham Street,NORTHCOTE,3070,VIC,DAREBIN CITY
Nola Barber Kindergarten,151 Station Street,ASPENDALE,3195,VIC,KINGSTON CITY
Nola-Dee Child Care Centre,34 Morton Street,CLAYTON,3168,VIC,MONASH CITY
Noni's Nursery,1 Hillcroft Drive,TEMPLESTOWE,3106,VIC,MANNINGHAM CITY
Norlane North Shore Kindergarten,11 Gerbera Avenue,NORLANE,3214,VIC,GREATER GEELONG CITY
Norlane West Kindergarten,39 Peacock Avenue,NORLANE,3214,VIC,GREATER GEELONG CITY
Norman Fischer Memorial Preschool,46 Kallay Street,CLAYTON SOUTH,3169,VIC,KINGSTON CITY
Normanby Street Preschool,53-55 Normanby Street,EAST GEELONG,3219,VIC,GREATER GEELONG CITY
North Bendigo Kindergarten, 55 Bannister Street,BENDIGO,3550,VIC,GREATER BENDIGO CITY
North Brighton Kindergarten,145A Cochrane Street,BRIGHTON,3186,VIC,BAYSIDE CITY
North Carlton Childrens Centre,481 Canning Street,CARLTON NORTH,3054,VIC,YARRA CITY
North Cheltenham Preschool,71 Argus St,CHELTENHAM,3192,VIC,KINGSTON CITY
North Essendon Kindergarten, Cnr Kerferd St & McCulloch St,ESSENDON NORTH,3041,VIC,MOONEE VALLEY CITY
North Gateway Early Learning Centre,2 North Gateway,LANGWARRIN,3910,VIC,FRANKSTON CITY
North Kew Kindergarten,152 Pakington Street,KEW NORTH,3101,VIC,BOROONDARA CITY
North Maidstone Kindergarten,145 Mitchell Street,MAIDSTONE,3012,VIC,MARIBYRNONG CITY
North Melbourne Childrens Centre,28 Howard Street,NORTH MELBOURNE,3051,VIC,MELBOURNE CITY
North Ringwood Community Children's Centre Inc.," Norwood Reserve, 125a Warrandyte Road",RINGWOOD NORTH,3134,VIC,MAROONDAH CITY
North Ringwood Preschool Inc,70 Lockhart Road,RINGWOOD NORTH,3134,VIC,MAROONDAH CITY
North St Kilda Children's Centre,71 Argyle Street,ST KILDA,3182,VIC,PORT PHILLIP CITY
North Sunshine Kindergarten, Phoenix Street,SUNSHINE,3020,VIC,BRIMBANK CITY
North West Brunswick Kindergarten,34 Rose Street,BRUNSWICK WEST,3055,VIC,MORELAND CITY
Northern Bay Early Learning and Care Inc,3-25 Goldsworthy Road,CORIO,3214,VIC,GREATER GEELONG CITY
Northland Kinder Haven,59-65 Wood Street,PRESTON,3072,VIC,DAREBIN CITY
Northwest Maria Montessori Preschool,174 OHea Street,COBURG,3058,VIC,MORELAND CITY
Northwest Maria Montessori Preschool - St Johns, Cnr Buckley St & Mt Alexander Rd,ESSENDON,3040,VIC,MOONEE VALLEY CITY
Norwood Kindergarten, Warrandyte Road,RINGWOOD,3134,VIC,MAROONDAH CITY
Nullawarre Kindergarten, Henry's Sawmill Road,NULLAWARRE,3268,VIC,MOYNE SHIRE
Numdaji Kwei Children's Centre, McKimmies Road,BUNDOORA,3083,VIC,WHITTLESEA CITY
Numurkah Kindergarten, McCaskill Street,NUMURKAH,3636,VIC,MOIRA SHIRE
Nyah West & District Kindergarten, Lloyd Street,NYAH WEST,3595,VIC,SWAN HILL RURAL CITY
Oak Park Children's Centre,667 Pascoe Vale Road,OAK PARK,3046,VIC,MORELAND CITY
Oak Park Kindergarten,1A Short Avenue,OAK PARK,3046,VIC,MORELAND CITY
Oak Street Kindergarten,6 Oak Street,DROUIN,3818,VIC,BAW BAW SHIRE
Oakbrook Kindergarten,36 Holroyd Drive,EPPING,3076,VIC,WHITTLESEA CITY
Oakhill Family Services Centre,91 North Rd,RESERVOIR,3073,VIC,DAREBIN CITY
Oakleigh Grammar Early Learning Centre,23 - 25 Clapham Road,OAKLEIGH,3166,VIC,MONASH CITY
Oakleigh Primary School and Kindergarten OSHC, 20 Warrigal Road,OAKLEIGH,3166,VIC,MONASH CITY
Oakleigh World of Learning,13 Warrigal Road,OAKLEIGH,3166,VIC,MONASH CITY
Oarsome Drive Childcare Centre,39-41 Oarsome Drive,DELAHEY,3037,VIC,BRIMBANK CITY
Oatlands Kindergarten,19-23 Rozzy Parade,NARRE WARREN,3805,VIC,CASEY CITY
Oban Kindergarten,6A Holyrood Crescent,RINGWOOD NORTH,3134,VIC,MAROONDAH CITY
Ocean Grove & District Preschool,114 The Avenue,OCEAN GROVE,3226,VIC,GREATER GEELONG CITY
Ocean Grove Integrated Childrens Centre,4-50 Shell Road,OCEAN GROVE,3226,VIC,GREATER GEELONG CITY
Olinda Avenue Kindergarten,2A Olinda Avenue,SPRINGVALE,3171,VIC,GREATER DANDENONG CITY
Olive Philips Kindergarten,26 Bodley Street,BEAUMARIS,3193,VIC,BAYSIDE CITY
Olympic Avenue Kindergarten,28 Olympic Avenue,CHELTENHAM,3192,VIC,BAYSIDE CITY
Olympic Village Preschool,29 Alamein Road,HEIDELBERG WEST,3081,VIC,BANYULE CITY
Omeo Kindergarten/Early Childhood Development Centre,162 Day Avenue,OMEO,3898,VIC,EAST GIPPSLAND SHIRE
One World Children's Centre,407-411 Thompson Road,GEELONG NORTH,3215,VIC,GREATER GEELONG CITY
Only About Children South Melbourne,221 Ferrars Street,SOUTH MELBOURNE,3205,VIC,PORT PHILLIP CITY
Oorama Early Learning - Berwick, Cnr Parkhill & Avebury Drives,BERWICK,3806,VIC,CASEY CITY
Oorama Early Learning - Cranbourne,24-26 Walter Street,CRANBOURNE,3977,VIC,CASEY CITY
Oorama Early Learning - Melton West,2  Roslyn Park Drive,MELTON,3337,VIC,MELTON SHIRE
Oorama Early Learning - Rosebud,127-129 Boneo Road,ROSEBUD,3939,VIC,MORNINGTON PENINSULA SHIRE
Oorama Early Learning - Tarneit,466-468 Sayers Road,TARNEIT,3029,VIC,WYNDHAM CITY
Orama Street Child Care Centre,24 Orama Street,DEER PARK,3023,VIC,BRIMBANK CITY
Orbost Kindergarten, 41 Browning Street,ORBOST,3888,VIC,EAST GIPPSLAND SHIRE
Ormond Community Kindergarten,1A Oakleigh Road,ORMOND,3163,VIC,GLEN EIRA CITY
Ormond Kinder Haven,18 Katandra Road,ORMOND,3204,VIC,GLEN EIRA CITY
Orrong Road Preschool,55 Orrong Road,ELSTERNWICK,3185,VIC,GLEN EIRA CITY
Our Kids,203 Springvale Road,NUNAWADING,3131,VIC,WHITEHORSE CITY
Our Lady of Lourdes Early Childhood Centre,27 Orange Grove,BAYSWATER,3153,VIC,KNOX CITY
Our Learning Steps Childcare and Kindergarten,2-4 Old Wells Road,PATTERSON LAKES,3197,VIC,KINGSTON CITY
Ouyen Preschool,78 Oke Street,OUYEN,3490,VIC,MILDURA RURAL CITY
Oxley College Kindergarten, Old Melbourne Road,CHIRNSIDE PARK,3116,VIC,YARRA RANGES SHIRE
Paddy O'Donoghue Centre - (Noble Park Community Service Centre), 18 - 32 Buckley Street,NOBLE PARK,3174,VIC,GREATER DANDENONG CITY
Padua Kindergarten & Childcare Centre,72 Exford Drive,MORNINGTON,3931,VIC,MORNINGTON PENINSULA SHIRE
Pakenham Childcare on McGregor,11-13 Wakenshaw Crescent,PAKENHAM,3810,VIC,CARDINIA SHIRE
Pakenham Early Education Centre on Princes Hwy,150-152 Princes Highway,PAKENHAM,3810,VIC,CARDINIA SHIRE
Pakenham South Early Learning Centre, Bluehills Boulevard,PAKENHAM,3810,VIC,CARDINIA SHIRE
Palm Grove Preschool,21 Palm Grove,KILSYTH,3137,VIC,YARRA RANGES SHIRE
Panorama Heights Preschool,3 Mitchell Avenue,MONTMORENCY SOUTH,3094,VIC,BANYULE CITY
Panton Hill Preschool,601 Main Road,PANTON HILL,3759,VIC,NILLUMBIK SHIRE
Paradise Kids Children's Centre,1 Paradise Way,SOUTH MORANG,3752,VIC,WHITTLESEA CITY
Paratea Preschool, Paratea Avenue,FRANKSTON,3199,VIC,FRANKSTON CITY
Park Crescent Children's Centre, Park Crescent,BORONIA,3155,VIC,KNOX CITY
Park Orchards Kindergarten,570-572 Park Road,PARK ORCHARDS,3114,VIC,MANNINGHAM CITY
Park Ridge Preschool, Dandelion Drive,ROWVILLE,3178,VIC,KNOX CITY
Park Street Child Care Co-op,785 Park Street,BRUNSWICK,3056,VIC,MORELAND CITY
Parkdale Preschool,14 Alameda Place,PARKDALE,3195,VIC,KINGSTON CITY
Parklands Kindergarten,121 Bridle Road,MORWELL,3840,VIC,LATROBE CITY
Parklane Kindergarten,2 Smith Street,TRARALGON,3844,VIC,LATROBE CITY
Parkmore Preschool,41 Jolimont Road,FOREST HILL,3131,VIC,WHITEHORSE CITY
Parkside Preschool,524 Elgar Road,BOX HILL NORTH,3129,VIC,WHITEHORSE CITY
Parkwood Green Preschool, Community Hub,HILLSIDE,3037,VIC,MELTON SHIRE
Pasadena Preschool,115 Pasadena Grove,MILDURA,3500,VIC,MILDURA RURAL CITY
Pascoe Vale Early Learning Centre and Kindergarten,188-204 Cumberland Road,PASCOE VALE,3044,VIC,MORELAND CITY
Pascoe Vale South Uniting Church Kindergarten,35A Westgate Street,PASCOE VALE SOUTH,3044,VIC,MORELAND CITY
Patricia Smith Children's Centre,38 Packham Street,SHEPPARTON,3630,VIC,GREATER SHEPPARTON CITY
Patterson Lakes Childcare & Kindergarten,106 McLeod Road,CARRUM,3197,VIC,KINGSTON CITY
Patterson Lakes Kindergarten,25 Terrigal Drive,PATTERSON LAKES,3197,VIC,KINGSTON CITY
Pax Hill Kindergarten,40 Barkers Crescent,TRARALGON,3844,VIC,LATROBE CITY
Paynesville Kindergarten,100 Langford Parade,PAYNESVILLE,3880,VIC,EAST GIPPSLAND SHIRE
Pearcedale Preschool,68 Pearcedale Road,PEARCEDALE,3912,VIC,CASEY CITY
Pearl Street Child Care Centre,2 Pearl Street,GLENROY,3046,VIC,MORELAND CITY
Pelican Childcare Coburg,1A Woiwurung Crescent,COBURG,3058,VIC,MORELAND CITY
Pelican Childcare Craigieburn,19-25 Princes Circuit,CRAIGIEBURN,3064,VIC,HUME CITY
Pelican Childcare Deer Park,79 Foleys Road,DEER PARK,3023,VIC,BRIMBANK CITY
Pelican Childcare Fairways,94-100 Fairways Boulevard,CRAIGIEBURN,3064,VIC,HUME CITY
Pelican Childcare Heatherton,16 - 20 Arco Lane,HEATHERTON,3202,VIC,KINGSTON CITY
